순번,국토부 코드,정산 코드,정류장 코드,정류장명,행정구역코드,시도명,시군구명,읍면동명,유개승강장,버스안내단말기 설치유무,와이좌표,엑스좌표
8.0,184005101.0,8001538.0,22000,동산중고등학교,3014011600,대전광역시,중구,문화동,O,O,36.314427,127.404924
18.0,184005311.0,8002627.0,20040,중앙로역1번출구,3014010100,대전광역시,중구,은행동,X,O,36.328836,127.426724
48.0,183002323.0,8002635.0,10030,중앙시장,3011010100,대전광역시,동구,원동,O,O,36.329105,127.4336
50.0,183002326.0,8002634.0,10050,중앙시장,3011010100,대전광역시,동구,원동,O,O,36.32856,127.433933
51.0,183002327.0,8002358.0,10060,중앙시장,3011010100,대전광역시,동구,원동,O,O,36.328296,127.434413
52.0,183002328.0,8002357.0,10070,원동네거리,3011010100,대전광역시,동구,원동,O,O,36.327573,127.434851
53.0,183002335.0,8002356.0,10080,원동네거리,3011010200,대전광역시,동구,인동,O,O,36.32597,127.435358
54.0,183002336.0,8002482.0,10090,신인동주민센터,3011010200,대전광역시,동구,인동,O,O,36.323514,127.437065
58.0,183002340.0,8002484.0,10130,인동현대아파트,3011010200,대전광역시,동구,인동,O,O,36.319549,127.438939
61.0,183002459.0,8003016.0,10160,효동네거리,3011010300,대전광역시,동구,효동,O,X,36.31648,127.440084
97.0,183002255.0,8002572.0,10550,어진마을아파트,3011010600,대전광역시,동구,신흥동,O,O,36.320877,127.44382
103.0,183002259.0,8002571.0,10610,신흥마을아파트후문,3011010600,대전광역시,동구,신흥동,O,O,36.321258,127.445149
108.0,183002420.0,8001670.0,10670,미리내아파트,3011010700,대전광역시,동구,판암동,O,O,36.316878,127.455621
109.0,183002421.0,8002822.0,10680,판암역네거리,3011010700,대전광역시,동구,판암동,O,O,36.317105,127.455798
112.0,183002424.0,8002825.0,10720,판암주공4단지,3011010700,대전광역시,동구,판암동,O,O,36.321194,127.458736
114.0,183002428.0,8002823.0,10740,판암역,3011010700,대전광역시,동구,판암동,O,O,36.316974,127.459628
115.0,183002427.0,8002826.0,10750,판암주공5단지,3011010700,대전광역시,동구,판암동,O,O,36.322238,127.459748
116.0,183002426.0,8002824.0,10760,판암역,3011010700,대전광역시,동구,판암동,O,O,36.317269,127.459661
131.0,183002273.0,8002307.0,10920,용운고층아파트,3011010900,대전광역시,동구,용운동,O,O,36.328332,127.453548
141.0,183002283.0,8002296.0,11020,용운동주민센터,3011010900,대전광역시,동구,용운동,O,O,36.327987,127.460768
156.0,183002070.0,8005881.0,11170,대동역2번출구,3011011000,대전광역시,동구,대동,O,O,36.328765,127.441443
157.0,183002071.0,8001348.0,11180,대동역3번출구,3011011000,대전광역시,동구,대동,O,O,36.329062,127.441729
158.0,183002073.0,8001349.0,11210,대동역7번출구,3011011000,대전광역시,동구,대동,O,O,36.330284,127.443728
165.0,183002074.0,8002488.0,11280,자양초등학교,3011011000,대전광역시,동구,대동,X,O,36.331281,127.443906
175.0,183002238.0,8002155.0,11380,이스트시티아파트,3011011200,대전광역시,동구,신안동,O,O,36.328053,127.439351
192.0,183002009.0,8001036.0,11550,가양네거리,3011011400,대전광역시,동구,가양동,O,O,36.346408,127.445333
218.0,183002313.0,8002880.0,11810,한국전력공사,3011011500,대전광역시,동구,용전동,O,O,36.357193,127.434467
220.0,183002315.0,8001096.0,11830,복합터미널,3011011500,대전광역시,동구,용전동,O,O,36.349013,127.435667
224.0,183002320.0,8001534.0,11870,동부네거리,3011011500,대전광역시,동구,용전동,O,O,36.350429,127.439679
231.0,183002189.0,8001994.0,11970,성남네거리,3011011600,대전광역시,동구,성남동,X,O,36.340421,127.435016
232.0,183002190.0,8001996.0,11980,성남네거리,3011011600,대전광역시,동구,성남동,O,O,36.341703,127.435597
234.0,183002192.0,8001097.0,12010,복합터미널,3011011600,대전광역시,동구,성남동,O,O,36.349038,127.437193
256.0,183002159.0,8001876.0,12310,삼성초등학교,3011011800,대전광역시,동구,삼성동,O,O,36.336463,127.430093
259.0,183002162.0,8001090.0,12340,계룡디지텍고입구,3011011800,대전광역시,동구,삼성동,O,O,36.339353,127.433395
267.0,183002374.0,8001528.0,12420,목척교,3011012000,대전광역시,동구,중동,O,O,36.330358,127.429897
268.0,183002375.0,8002995.0,12430,목척교,3011012000,대전광역시,동구,중동,O,O,36.330172,127.430322
269.0,183002376.0,8001529.0,12440,목척교,3011012000,대전광역시,동구,중동,O,O,36.330624,127.430573
270.0,183002377.0,8001527.0,12450,목척교,3011012000,대전광역시,동구,중동,O,O,36.330683,127.430775
493.0,184005313.0,8002437.0,20050,으능정이거리,3014010100,대전광역시,중구,은행동,O,O,36.329101,127.427446
494.0,184005314.0,8005994.0,20060,으능정이거리,3014010100,대전광역시,중구,은행동,O,O,36.329633,127.427949
500.0,184005202.0,8001990.0,20140,세명요양병원,3014010200,대전광역시,중구,선화동,O,O,36.335092,127.417633
513.0,184005219.0,8002330.0,20300,중앙로역6번출구,3014010200,대전광역시,중구,선화동,O,O,36.32823,127.424322
530.0,184005338.0,8002650.0,20480,중촌초등학교,3014010400,대전광역시,중구,중촌동,O,O,36.341075,127.410069
531.0,184005340.0,8002651.0,20490,중촌주공2단지,3014010400,대전광역시,중구,중촌동,O,X,36.344202,127.411366
533.0,184005342.0,8002636.0,20510,중앙중고등학교,3014010400,대전광역시,중구,중촌동,O,O,36.339116,127.413025
534.0,184005343.0,8002648.0,20520,중촌동주민센터,3014010400,대전광역시,중구,중촌동,O,O,36.338677,127.413132
536.0,184005028.0,8002798.0,20540,테미삼거리,3014010500,대전광역시,중구,대흥동,O,O,36.318352,127.418603
542.0,184005034.0,8002603.0,20600,중구청,3014010500,대전광역시,중구,대흥동,O,O,36.325672,127.420922
546.0,184005037.0,8002888.0,20640,대고오거리,3014010500,대전광역시,중구,대흥동,O,O,36.324142,127.422388
547.0,184005039.0,8002887.0,20650,대고오거리,3014010500,대전광역시,중구,대흥동,O,O,36.323542,127.422909
550.0,184005041.0,8002628.0,20680,중앙로역4번출구,3014010500,대전광역시,중구,대흥동,O,O,36.32785,127.424068
554.0,184005045.0,8002629.0,20720,중앙로역4번출구,3014010500,대전광역시,중구,대흥동,O,O,36.328179,127.424969
558.0,184005049.0,8001464.0,20760,대흥동성당,3014010500,대전광역시,중구,대흥동,O,O,36.327033,127.426625
566.0,184005084.0,8001791.0,20840,부사오거리,3014010600,대전광역시,중구,문창동,O,O,36.313387,127.435917
567.0,184005085.0,8001660.0,20850,문창시장,3014010600,대전광역시,중구,문창동,O,O,36.314543,127.438252
580.0,184005273.0,8002254.0,20980,옥계동,3014010900,대전광역시,중구,옥계동,O,X,36.299093,127.454549
594.0,184005133.0,8001792.0,21120,부사오거리,3014011100,대전광역시,중구,부사동,O,O,36.314048,127.43449
595.0,184005134.0,8001789.0,21130,부사오거리,3014011100,대전광역시,중구,부사동,O,O,36.312646,127.435513
605.0,184005197.0,8002734.0,21240,대전충남병무청,3014011200,대전광역시,중구,용두동,O,O,36.322998,127.414653
610.0,184005257.0,8002228.0,21300,오룡역3번출구,3014011300,대전광역시,중구,오류동,O,O,36.328373,127.403855
617.0,184005264.0,8001935.0,21380,서대전역네거리,3014011300,대전광역시,중구,오류동,X,O,36.321035,127.406907
620.0,184005268.0,8001929.0,21410,서대전네거리역3번출구,3014011300,대전광역시,중구,오류동,O,O,36.322004,127.410493
621.0,184005359.0,8001715.0,21420,버드내아파트,3014011400,대전광역시,중구,태평동,O,O,36.316006,127.387484
625.0,184005363.0,8002793.0,21460,태평오거리,3014011400,대전광역시,중구,태평동,O,O,36.326552,127.392857
626.0,184005364.0,8002790.0,21470,태평오거리,3014011400,대전광역시,중구,태평동,O,O,36.326185,127.39304
627.0,184005366.0,8001869.0,21480,삼부아파트,3014011400,대전광역시,중구,태평동,O,O,36.323709,127.39385
628.0,184005365.0,8001868.0,21490,삼부아파트,3014011400,대전광역시,중구,태평동,O,O,36.322932,127.393824
637.0,184005373.0,8002779.0,21580,태평1동주민센터,3014011400,대전광역시,중구,태평동,O,O,36.326122,127.396697
647.0,184005291.0,8001714.0,21680,버드내아파트,3014011500,대전광역시,중구,유천동,O,O,36.31583,127.387937
654.0,184005299.0,8002432.0,21750,유천동서대전농협,3014011500,대전광역시,중구,유천동,O,O,36.317897,127.394739
656.0,184005301.0,8002434.0,21770,유천시장,3014011500,대전광역시,중구,유천동,O,O,36.318032,127.396647
659.0,184005304.0,8002794.0,21800,쌍용예가아파트,3014011500,대전광역시,중구,유천동,O,O,36.322587,127.398247
661.0,184005306.0,8002433.0,21820,유천동현대아파트,3014011500,대전광역시,중구,유천동,X,O,36.318837,127.398354
663.0,184005308.0,8001940.0,21840,서대전육교,3014011500,대전광역시,중구,유천동,O,O,36.319012,127.400526
678.0,184005100.0,8001539.0,21990,동산중고등학교,3014011600,대전광역시,중구,문화동,O,O,36.314606,127.404723
682.0,184005105.0,8001934.0,22040,서대전역네거리,3014011600,대전광역시,중구,문화동,O,O,36.320563,127.406437
693.0,184005267.0,8001927.0,22150,서대전네거리역2번출구,3014011600,대전광역시,중구,문화동,O,O,36.321435,127.409593
698.0,184005124.0,8002724.0,22210,충남대학교병원,3014011600,대전광역시,중구,문화동,O,O,36.317802,127.413486
701.0,184005127.0,8002733.0,22250,대전충남병무청,3014011600,대전광역시,중구,문화동,O,O,36.322649,127.415108
704.0,184005167.0,8001847.0,22280,산성네거리,3014011700,대전광역시,중구,산성동,O,O,36.303756,127.386045
705.0,184005168.0,8001846.0,22290,산성네거리,3014011700,대전광역시,중구,산성동,O,O,36.303293,127.386314
706.0,184005169.0,8001851.0,22300,산성동행정복지센터,3014011700,대전광역시,중구,산성동,O,O,36.306148,127.38653
719.0,184005184.0,8001854.0,22430,산성우성아파트,3014011700,대전광역시,중구,산성동,O,O,36.31114,127.393702
794.0,184005357.0,8005952.0,23210,버드내아파트,3014011400,대전광역시,중구,태평동,O,X,36.3161,127.386726
798.0,184005312.0,8002454.0,23250,으능정이거리,3014010100,대전광역시,중구,은행동,O,O,36.329297,127.427161
799.0,184005021.0,8005998.0,23260,보문오거리,3014011000,대전광역시,중구,대사동,O,O,36.317392,127.42518
810.0,184005204.0,8007042.0,23370,중구청역,3014010200,대전광역시,중구,선화동,O,O,36.324147,127.418424
863.0,185003319.0,8001731.0,30290,변동네거리,3017010200,대전광역시,서구,변동,O,O,36.326345,127.379917
877.0,185003161.0,8002831.0,30430,배재대학교,3017010300,대전광역시,서구,도마동,O,O,36.322803,127.370455
883.0,185003168.0,8002545.0,30490,서부소방서,3017010300,대전광역시,서구,도마동,O,O,36.31025,127.372373
898.0,185003183.0,8002118.0,30640,도마삼거리,3017010300,대전광역시,서구,도마동,O,O,36.311166,127.376208
899.0,185003184.0,8002119.0,30650,도마삼거리,3017010300,대전광역시,서구,도마동,O,O,36.311698,127.376647
904.0,185003189.0,8001494.0,30700,도마1동행정복지센터,3017010300,대전광역시,서구,도마동,O,O,36.314708,127.379145
905.0,185003190.0,8001491.0,30710,도마1동행정복지센터,3017010300,대전광역시,서구,도마동,O,O,36.315396,127.379203
906.0,185003191.0,8001488.0,30720,도마네거리,3017010300,대전광역시,서구,도마동,O,O,36.312647,127.380828
907.0,185003192.0,8001490.0,30730,도마네거리,3017010300,대전광역시,서구,도마동,O,O,36.313805,127.381268
908.0,185003193.0,8001489.0,30750,도마e편한세상아파트,3017010300,대전광역시,서구,도마동,O,O,36.313825,127.382102
909.0,185003196.0,8001493.0,30760,도마시장,3017010300,대전광역시,서구,도마동,O,O,36.314805,127.383507
910.0,185003198.0,8001492.0,30770,도마시장,3017010300,대전광역시,서구,도마동,O,O,36.314645,127.383909
914.0,185003454.0,8002547.0,30810,정림삼거리,3017010400,대전광역시,서구,정림동,O,O,36.307276,127.363946
920.0,185003460.0,8002542.0,30870,정림동,3017010400,대전광역시,서구,정림동,O,O,36.308105,127.365443
928.0,185003367.0,8002276.0,30950,용문역3번출구,3017010500,대전광역시,서구,용문동,O,O,36.337901,127.392492
929.0,185003368.0,8002278.0,30970,용문역1번출구,3017010500,대전광역시,서구,용문동,O,O,36.337083,127.394413
930.0,185003369.0,8002280.0,30980,용문역8번출구,3017010500,대전광역시,서구,용문동,O,O,36.33757,127.394428
936.0,185003469.0,8001074.0,31050,개나리아파트,3017010600,대전광역시,서구,탄방동,O,O,36.34336,127.383142
942.0,185003476.0,8001949.0,31120,서부농협본점,3017010600,대전광역시,서구,탄방동,O,O,36.342387,127.387483
